State,Abre,ID,costIndex2014,costIndex2013,costIndex2012,costIndex2011,costIndex2010,costIndex2009,costIndex2008,costIndex2007,costIndex2006,costIndex2005,costIndex2004,costIndex2003,costIndex2002,costIndex2001,costIndex2000,Income2014,Income2013,Income2012,Income2011,Income2010,Income2009,Income2008,Income2007,Income2006,Income2005,Income2004,Income2003,Income2002,Income2001,Income2000,Income1999,Income1998,Income1997,
Nevada,NV,32,106.37,104.68,103.03,101.07,97.98,96.40,96.74,93.16,90.34,87.75,84.88,82.68,80.83,79.58,77.37,49875.00,48608.00,47333.00,47043.00,51200.00,51434.00,54744.00,54058.00,52282.00,48209.00,47204.00,45184.00,44958.00,45403.00,45758.00,41461.00,39756.00,38854.00,
New Hampshire,NH,33,118.06,116.18,114.35,112.18,108.74,106.99,107.37,103.40,100.27,97.39,94.20,91.76,89.71,88.32,85.87,73397.00,70211.00,67819.00,65880.00,66633.00,64131.00,66176.00,67576.00,61970.00,56984.00,56815.00,55567.00,55321.00,51331.00,50926.00,46055.00,44958.00,40998.00,
New Jersey,Nj,34,125.45,123.45,121.50,119.20,115.55,113.69,114.09,109.87,106.54,103.49,100.10,97.50,95.33,93.85,91.25,65243.00,62768.00,66692.00,62338.00,62968.00,64777.00,65306.00,60508.00,68059.00,63368.00,55275.00,56045.00,54568.00,51771.00,50405.00,49734.00,49826.00,48021.00,
New Mexico,NM,35,135.44,133.28,131.18,128.69,124.75,122.74,123.17,118.62,115.03,111.73,108.07,105.27,102.92,101.32,98.52,46686.00,41147.00,43424.00,41982.00,45134.00,43542.00,42102.00,44356.00,40028.00,38947.00,39562.00,35105.00,35457.00,33124.00,35093.00,32574.00,31543.00,30086.00,
New York,NY,36,135.44,133.28,131.18,128.69,124.75,122.74,123.17,118.62,115.03,111.73,108.07,105.27,102.92,101.32,98.52,54310.00,51905.00,47680.00,50636.00,49781.00,50216.00,50461.00,48944.00,48222.00,47176.00,44649.00,42788.00,41966.00,42114.00,40744.00,39989.00,37394.00,35798.00,
North Carolina,NC,37,135.44,94.16,92.68,90.92,88.14,86.71,87.02,83.80,81.27,78.94,76.35,74.37,72.71,71.58,69.60,46784.00,43773.00,41553.00,45206.00,43830.00,41906.00,42930.00,43513.00,39797.00,42056.00,40238.00,37279.00,36515.00,38162.00,38317.00,37254.00,35838.00,35840.00,
North Dakota,ND,38,95.69,99.47,97.90,96.04,93.10,91.60,91.93,88.53,85.85,83.39,80.65,78.56,76.81,75.62,73.52,60730.00,56020.00,55766.00,56361.00,51006.00,50075.00,49631.00,47205.00,41047.00,42192.00,39220.00,40410.00,36200.00,35793.00,35996.00,32663.00,30304.00,31661.00,
Ohio,OH,39,101.08,90.92,89.48,87.79,85.10,83.73,84.02,80.92,78.47,76.22,73.72,71.81,70.21,69.12,67.20,49644.00,48573.00,44375.00,44648.00,45886.00,45879.00,46934.00,49099.00,45900.00,44203.00,43055.00,43520.00,42684.00,41785.00,42962.00,39489.00,38925.00,36134.00,
Oklahoma,OK,40,92.39,88.16,86.77,85.13,82.52,81.19,81.48,78.47,76.09,73.91,71.49,69.63,68.08,67.02,65.17,47199.00,44970.00,48407.00,48455.00,43103.00,45878.00,46111.00,43216.00,38838.00,37645.00,39614.00,35902.00,36458.00,35609.00,32432.00,32683.00,33727.00,31351.00,
Oregon,OR,41,89.59,127.28,125.28,122.90,119.14,117.22,117.63,113.28,109.85,106.71,103.21,100.53,98.29,96.76,94.08,58875.00,52653.00,51775.00,51526.00,50602.00,49098.00,51727.00,50236.00,47091.00,44159.00,40994.00,41638.00,41802.00,41273.00,42499.00,40619.00,39067.00,37247.00,
Pennsylvania,PA,42,129.35,101.24,99.64,97.75,94.76,93.23,93.56,90.10,87.37,84.87,82.09,79.96,78.18,76.96,74.83,55173.00,54554.00,51904.00,49910.00,48314.00,48172.00,51402.00,48437.00,48477.00,46300.00,44106.00,42933.00,42498.00,43499.00,42176.00,37758.00,39015.00,37517.00,
Rhode Island,RI,44,102.88,121.19,119.28,117.02,113.44,111.61,112.00,107.86,104.59,101.60,98.27,95.72,93.59,92.13,89.58,58633.00,57068.00,56065.00,49033.00,51623.00,51634.00,53241.00,54210.00,53736.00,49484.00,47935.00,44711.00,42417.00,45723.00,42197.00,42719.00,40686.00,34797.00,
South Carolina,SC,45,123.15,95.83,94.32,92.53,89.70,88.25,88.57,85.29,82.71,80.34,77.71,75.69,74.00,72.85,70.84,44929.00,43656.00,44401.00,40084.00,41698.00,41101.00,42155.00,44213.00,39617.00,40230.00,38691.00,38479.00,37812.00,37736.00,37570.00,36462.00,33267.00,34262.00,
South Dakota,SD,46,97.38,100.74,99.16,97.28,94.30,92.78,93.11,89.66,86.95,84.46,81.69,79.57,77.80,76.59,74.47,53053.00,53933.00,49415.00,47223.00,45352.00,45826.00,51600.00,46418.00,45427.00,43151.00,41107.00,39522.00,37873.00,39671.00,36475.00,35828.00,32786.00,29694.00,
Tennessee,TN,47,102.38,88.75,87.36,85.70,83.08,81.74,82.03,78.99,76.60,74.41,71.97,70.10,68.54,67.47,65.60,43716.00,42930.00,42995.00,42279.00,38591.00,40517.00,39702.00,41195.00,40693.00,39406.00,38072.00,37523.00,37030.00,35783.00,34096.00,36522.00,34091.00,30636.00,
Texas,TX,48,90.19,91.01,89.58,87.88,85.19,83.82,84.11,81.00,78.55,76.30,73.80,71.89,70.28,69.19,67.28,53875.00,52217.00,51926.00,49047.00,47266.00,47475.00,46490.00,46053.00,43307.00,41422.00,41397.00,39271.00,40149.00,40860.00,38609.00,38688.00,35783.00,35075.00,
Utah,UT,49,92.49,90.82,89.39,87.69,85.01,83.64,83.93,80.83,78.38,76.14,73.64,71.73,70.13,69.04,67.13,63383.00,62007.00,58341.00,55493.00,56701.00,58491.00,62537.00,53529.00,54628.00,54813.00,50871.00,49275.00,47861.00,47342.00,47550.00,46050.00,44299.00,42775.00,
Vermont,VT,50,92.49,121.68,119.76,117.49,113.90,112.06,112.46,108.30,105.02,102.01,98.67,96.11,93.97,92.50,89.94,60708.00,60178.00,55582.00,51862.00,55928.00,52318.00,50706.00,47390.00,51981.00,50704.00,47329.00,43261.00,42999.00,40794.00,39594.00,41584.00,39372.00,35053.00,
Virginia,VA,51,92.29,92.88,91.42,89.68,86.94,85.54,85.84,82.67,80.16,77.87,75.31,73.36,71.73,70.61,68.66,66155.00,66764.00,64632.00,62616.00,60367.00,60501.00,61985.00,59161.00,57119.00,51914.00,51141.00,54783.00,49631.00,50241.00,47163.00,45693.00,43354.00,42957.00,
Washington,WA,53,123.65,104.18,102.54,100.60,97.52,95.95,96.29,92.73,89.92,87.34,84.48,82.29,80.45,79.20,77.01,59068.00,62014.00,62187.00,56850.00,56163.00,60392.00,56631.00,58080.00,54723.00,50646.00,49922.00,47508.00,45183.00,42490.00,42525.00,45473.00,47421.00,44562.00,
West Virginia,WV,54,94.39,101.92,100.32,98.41,95.40,93.86,94.20,90.71,87.97,85.45,82.65,80.50,78.71,77.48,75.34,39552.00,41655.00,43553.00,41821.00,42777.00,40490.00,37994.00,42091.00,38419.00,36445.00,33373.00,32763.00,29359.00,29673.00,29411.00,29297.00,26704.00,27488.00,
Wisconsin,WI,55,105.87,96.42,94.90,93.10,90.25,88.80,89.11,85.82,83.22,80.83,78.18,76.16,74.46,73.30,71.27,58080.00,53492.00,53079.00,52058.00,50351.00,51237.00,51200.00,51277.00,51692.00,44650.00,45732.00,46269.00,45903.00,45346.00,45088.00,45667.00,41327.00,39595.00,
Wyoming,WY,56,103.58,91.21,89.77,88.07,85.38,84.00,84.30,81.18,78.72,76.47,73.96,72.04,70.44,69.34,67.42,55690.00,61571.00,57512.00,54509.00,52201.00,52470.00,53337.00,48744.00,47041.00,44718.00,45397.00,42555.00,39763.00,39719.00,39629.00,37248.00,35250.00,33423.00,
